name,ip,status,latency,datetime
Gateway,192.168.200.1,1,1.59,2023-11-04 15:26:33
LocalHost,127.0.0.1,1,0.02,2023-11-04 15:26:38
Gateway,192.168.200.1,1,10.08,2023-11-04 15:26:38
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:26:43
Gateway,192.168.200.1,1,1.47,2023-11-04 15:26:43
LocalHost,127.0.0.1,1,0.02,2023-11-04 15:26:48
Gateway,192.168.200.1,1,12.55,2023-11-04 15:26:48
LocalHost,127.0.0.1,1,0.02,2023-11-04 15:26:53
Gateway,192.168.200.1,1,4.8,2023-11-04 15:26:53
LocalHost,127.0.0.1,1,0.02,2023-11-04 15:26:58
Gateway,192.168.200.1,1,1.52,2023-11-04 15:26:58
LocalHost,127.0.0.1,1,0.02,2023-11-04 15:27:03
Gateway,192.168.200.1,1,11.25,2023-11-04 15:27:03
